                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   1.6440  32.4277  0.63799E+03  0.67028E+03  0.31705E-04  0.65707E+03  0.67028E+03  0.31705E-04  0.65707E+03
    5.0140   1.6440  33.2584  0.53057E+03  0.55388E+03  0.11901E-04  0.54310E+03  0.55388E+03  0.11901E-04  0.54310E+03
    5.0140   1.6440  34.0712  0.44154E+03  0.45813E+03  0.44226E-05  0.44929E+03  0.45813E+03  0.44226E-05  0.44929E+03
    5.0140   1.6440  34.8673  0.36756E+03  0.37914E+03  0.16255E-05  0.37183E+03  0.37914E+03  0.16255E-05  0.37183E+03
    5.0140   1.6440  35.6478  0.30602E+03  0.31391E+03  0.59039E-06  0.30784E+03  0.31391E+03  0.59039E-06  0.30784E+03
    5.0140   1.6440  36.4138  0.25474E+03  0.25988E+03  0.21173E-06  0.25479E+03  0.25988E+03  0.21173E-06  0.25479E+03
    5.0140   1.6440  37.1661  0.21189E+03  0.21505E+03  0.74937E-07  0.21076E+03  0.21505E+03  0.74937E-07  0.21076E+03
    5.0140   1.6440  37.9057  0.17604E+03  0.17778E+03  0.26155E-07  0.17413E+03  0.17778E+03  0.26155E-07  0.17413E+03
    5.0140   1.5540  21.0722  0.63267E+04  0.76062E+04  0.37063E+01  0.73300E+04  0.76062E+04  0.37063E+01  0.73300E+04
    5.0140   1.5540  22.3939  0.49271E+04  0.58319E+04  0.12859E+01  0.56360E+04  0.58319E+04  0.12859E+01  0.56360E+04
    5.0140   1.5540  23.6453  0.38992E+04  0.45498E+04  0.46218E+00  0.44070E+04  0.45498E+04  0.46218E+00  0.44070E+04
    5.0140   1.5540  24.8373  0.31253E+04  0.35989E+04  0.17039E+00  0.34927E+04  0.35989E+04  0.17039E+00  0.34927E+04
    5.0140   1.5540  25.9779  0.25304E+04  0.28780E+04  0.63964E-01  0.27977E+04  0.28780E+04  0.63964E-01  0.27977E+04
    5.0140   1.5540  27.0737  0.20644E+04  0.23210E+04  0.24308E-01  0.22595E+04  0.23210E+04  0.24308E-01  0.22595E+04
    5.0140   1.5540  28.1300  0.16936E+04  0.18837E+04  0.93075E-02  0.18361E+04  0.18837E+04  0.93075E-02  0.18361E+04
    5.0140   1.5540  29.1510  0.13951E+04  0.15362E+04  0.35775E-02  0.14989E+04  0.15362E+04  0.35775E-02  0.14989E+04
    5.0140   1.5540  30.1404  0.11526E+04  0.12575E+04  0.13759E-02  0.12280E+04  0.12575E+04  0.13759E-02  0.12280E+04
    5.0140   1.5540  31.1012  0.95434E+03  0.10323E+04  0.52813E-03  0.10087E+04  0.10323E+04  0.52813E-03  0.10087E+04
    5.0140   1.5540  32.0360  0.79130E+03  0.84913E+03  0.20187E-03  0.83024E+03  0.84913E+03  0.20187E-03  0.83024E+03
    5.0140   1.5540  32.9470  0.65682E+03  0.69965E+03  0.76703E-04  0.68441E+03  0.69965E+03  0.76703E-04  0.68441E+03
    5.0140   1.5540  33.8362  0.54565E+03  0.57723E+03  0.28922E-04  0.56486E+03  0.57723E+03  0.28922E-04  0.56486E+03
    5.0140   1.5540  34.7053  0.45361E+03  0.47675E+03  0.10808E-04  0.46667E+03  0.47675E+03  0.10808E-04  0.46667E+03
    5.0140   1.5540  35.5557  0.37735E+03  0.39415E+03  0.39981E-05  0.38588E+03  0.39415E+03  0.39981E-05  0.38588E+03
    5.0140   1.5540  36.3889  0.31400E+03  0.32604E+03  0.14625E-05  0.31923E+03  0.32604E+03  0.14625E-05  0.31923E+03
    5.0140   1.5540  37.2059  0.26131E+03  0.26978E+03  0.52861E-06  0.26413E+03  0.26978E+03  0.52861E-06  0.26413E+03
    5.0140   1.5540  38.0078  0.21739E+03  0.22320E+03  0.18865E-06  0.21849E+03  0.22320E+03  0.18865E-06  0.21849E+03
    5.0140   1.5540  38.7957  0.18068E+03  0.18454E+03  0.66421E-07  0.18059E+03  0.18454E+03  0.66421E-07  0.18059E+03
    5.0140   1.5540  39.5703  0.15004E+03  0.15247E+03  0.23063E-07  0.14913E+03  0.15247E+03  0.23063E-07  0.14913E+03
    5.0140   1.4640  22.0020  0.54071E+04  0.65734E+04  0.35378E+01  0.63153E+04  0.65734E+04  0.35378E+01  0.63153E+04
    5.0140   1.4640  23.3836  0.42119E+04  0.50391E+04  0.12242E+01  0.48557E+04  0.50391E+04  0.12242E+01  0.48557E+04
